钻孔编号	层号	ds(m)	 土名	"ρc
(%)"	"Ni
(击)"	"Ncri
(击)"	"(1-Ni/Ncri)
×diWi"	判别结果	 αmax
k4#	4	9.15-9.45	粉砂	3	16	9.69	－	不液化	0.10g
k4#	4	10.15-10.45	粉砂	3	17	9.96	－	不液化	0.10g
k4#	5	11.15-11.45	粉砂	3	15	10.2	－	不液化	0.10g
k4#	5	12.15-12.45	粉砂	3	16	10.41	－	不液化	0.10g
k4#	5	13.15-13.45	粉砂	3	18	10.6	－	不液化	0.10g
k4#	6	14.15-14.45	粉砂	3	15	10.77	－	不液化	0.10g
k4#	6	15.15-15.45	粉砂	3	19	10.93	－	不液化	0.10g
k4#	6	16.15-16.45	粉砂	3	24	11.07	－	不液化	0.10g
k4#	6	17.15-17.45	粉砂	3	23	11.2	－	不液化	0.10g
k4#	7	18.15-18.45	粉砂	3	28	11.32	－	不液化	0.10g
k4#	8	19.15-19.45	粉砂	3	11	11.44	－	不液化	0.10g
k4#	8	20.15-20.45	粉砂	3	12	11.54	-	不液化	0.10g
k4#	8	21.25-21.45	粉砂	3	12	11.63	-	不液化	0.10g
k4#	9	22.15-22.45	粉土	16	14	5.07	-	不液化	0.10g
k4#	9	23.15-23.45	粉土	21	10	4.46	-	不液化	0.10g
k4#	9	24.15-24.45	粉土	23	12	4.29	-	不液化	0.10g
k4#	9	25.15-25.45	粉土	24	14	4.23	-	不液化	0.10g
k4#	9	26.15-26.45	粉土	26	10	4.08	-	不液化	0.10g
k4#	9	27.15-27.45	粉土	23	12	4.36	-	不液化	0.10g
k4#	10	28.15-28.45	粉土	27	14	4.05	-	不液化	0.10g
k4#	10	29.15-29.45	粉土	26	13	4.14	-	不液化	0.10g
k4#	2	3.15-3.45	粉土夹粉砂	13	9	4.5	－	不液化	0.15g
k4#	3	4.15-4.45	粉土	15	7	4.61	－	不液化	0.15g
k4#	3	5.15-5.45	粉土	12.4	7	5.46	－	不液化	0.15g
k4#	3	6.15-6.45	粉土	13.1	6	5.62	－	不液化	0.15g
k4#	3	7.15-7.45	粉土	15.1	9	5.49	－	不液化	0.15g
k4#	4	8.15-8.45	粉砂	3	14	12.79	－	不液化	0.15g
k4#	4	9.15-9.45	粉砂	3	16	13.21	－	不液化	0.15g
k4#	4	10.15-10.45	粉砂	3	17	13.58	－	不液化	0.15g
k4#	5	11.15-11.45	粉砂	3	15	13.91	－	不液化	0.15g
k4#	5	12.15-12.45	粉砂	3	16	14.2	－	不液化	0.15g
k4#	5	13.15-13.45	粉砂	3	18	14.46	－	不液化	0.15g
k4#	6	14.15-14.45	粉砂	3	15	14.69	－	不液化	0.15g
k4#	6	15.15-15.45	粉砂	3	19	14.91	－	不液化	0.15g
k4#	6	16.15-16.45	粉砂	3	24	15.1	－	不液化	0.15g
k4#	6	17.15-17.45	粉砂	3	23	15.28	－	不液化	0.15g
k4#	7	18.15-18.45	粉砂	3	28	15.44	－	不液化	0.15g
k4#	8	19.15-19.45	粉砂	3	11	15.59	－	不液化	0.15g
k4#	8	20.15-20.45	粉砂	3	12	15.73	-	不液化	0.15g
k4#	8	21.25-21.45	粉砂	3	12	15.86	-	不液化	0.15g
k4#	9	22.15-22.45	粉土	16	14	6.92	-	不液化	0.15g
k4#	9	23.15-23.45	粉土	21	10	6.08	-	不液化	0.15g
k4#	9	24.15-24.45	粉土	23	12	5.85	-	不液化	0.15g
k4#	9	25.15-25.45	粉土	24	14	5.76	-	不液化	0.15g
k4#	9	26.15-26.45	粉土	26	10	5.57	-	不液化	0.15g
k4#	9	27.15-27.45	粉土	23	12	5.95	-	不液化	0.15g
k4#	10	28.15-28.45	粉土	27	14	5.52	-	不液化	0.15g
k4#	10	29.15-29.45	粉土	26	13	5.65	-	不液化	0.15g
k4#	2	3.15-3.45	粉土夹粉砂	13	9	5.5	－	不液化	0.20g
k4#	3	4.15-4.45	粉土	15	7	5.64	－	不液化	0.20g
k4#	3	5.15-5.45	粉土	12.4	7	6.67	－	不液化	0.20g
k4#	3	6.15-6.45	粉土	13.1	6	6.87	0.87	液化	0.20g
k4#	3	7.15-7.45	粉土	15.1	9	6.71	－	不液化	0.20g
k4#	4	8.15-8.45	粉砂	3	14	15.64	0.9	液化	0.20g
k4#	4	9.15-9.45	粉砂	3	16	16.15	0.99	液化	0.20g
k4#	4	10.15-10.45	粉砂	3	17	16.6	－	不液化	0.20g
k4#	5	11.15-11.45	粉砂	3	15	17	－	不液化	0.20g
k4#	5	12.15-12.45	粉砂	3	16	17.35	－	不液化	0.20g
k4#	5	13.15-13.45	粉砂	3	18	17.67	－	不液化	0.20g
k4#	6	14.15-14.45	粉砂	3	15	17.96	0.83	液化	0.20g
k4#	6	15.15-15.45	粉砂	3	19	18.22	－	不液化	0.20g
k4#	6	16.15-16.45	粉砂	3	24	18.46	－	不液化	0.20g
k4#	6	17.15-17.45	粉砂	3	23	18.67	－	不液化	0.20g
k4#	7	18.15-18.45	粉砂	3	28	18.87	－	不液化	0.20g
k4#	8	19.15-19.45	粉砂	3	11	19.06	0.54	液化	0.20g
k4#	8	20.15-20.45	粉砂	3	12	19.23	-	不液化	0.20g
k4#	8	21.25-21.45	粉砂	3	12	19.39	-	不液化	0.20g
k4#	9	22.15-22.45	粉土	16	14	8.46	-	不液化	0.20g
k4#	9	23.15-23.45	粉土	21	10	7.43	-	不液化	0.20g
k4#	9	24.15-24.45	粉土	23	12	7.15	-	不液化	0.20g
k4#	9	25.15-25.45	粉土	24	14	7.04	-	不液化	0.20g
k4#	9	26.15-26.45	粉土	26	10	6.8	-	不液化	0.20g
k4#	9	27.15-27.45	粉土	23	12	7.27	-	不液化	0.20g
k4#	10	28.15-28.45	粉土	27	14	6.75	-	不液化	0.20g
k4#	10	29.15-29.45	粉土	26	13	6.91	-	不液化	0.20g
k4#	2	3.15-3.45	粉土夹粉砂	13	5	7.08	0.71	液化	0.30g
k4#	3	4.15-4.45	粉土	15	8	7.25	－	不液化	0.30g
k4#	3	5.15-5.45	粉土	12.4	8	8.58	0.93	液化	0.30g
k4#	3	6.15-6.45	粉土	13.1	15	8.84	－	不液化	0.30g
k4#	3	7.15-7.45	粉土	15.1	16	8.62	－	不液化	0.30g
k4#	4	8.15-8.45	粉砂	3	15	20.1	0.75	液化	0.30g
k4#	4	9.15-9.45	粉砂	3	16	20.76	0.77	液化	0.30g
k4#	4	10.15-10.45	粉砂	3	18	21.34	0.84	液化	0.30g
k4#	5	11.15-11.45	粉砂	3	19	21.85	0.87	液化	0.30g
k4#	5	12.15-12.45	粉砂	3	25	22.31	－	不液化	0.30g
k4#	5	13.15-13.45	粉砂	3	26	22.72	－	不液化	0.30g
k4#	6	14.15-14.45	粉砂	3	27	23.09	－	不液化	0.30g
k4#	6	15.15-15.45	粉砂	3	30	23.42	－	不液化	0.30g
k4#	6	16.15-16.45	粉砂	3	34	23.73	－	不液化	0.30g
k4#	6	17.15-17.45	粉砂	3	35	24.01	－	不液化	0.30g
k4#	7	18.15-18.45	粉砂	3	42	24.27	－	不液化	0.30g
k4#	8	19.15-19.45	粉砂	3	41	24.5	－	不液化	0.30g
k4#	8	20.15-20.45	粉砂	3	34	24.72	-	不液化	0.30g
k4#	8	21.25-21.45	粉砂	3	32	24.93	-	不液化	0.30g
k4#	9	22.15-22.45	粉土	16	31	10.87	-	不液化	0.30g
k4#	9	23.15-23.45	粉土	21	36	9.56	-	不液化	0.30g
k4#	9	24.15-24.45	粉土	23	34	9.19	-	不液化	0.30g
k4#	9	25.15-25.45	粉土	24	22	9.05	-	不液化	0.30g
k4#	9	26.15-26.45	粉土	26	26	8.75	-	不液化	0.30g
k4#	9	27.15-27.45	粉土	23	24	9.35	-	不液化	0.30g
k4#	10	28.15-28.45	粉土	27	25	8.67	-	不液化	0.30g
k4#	10	29.15-29.45	粉土	26	32	8.88	-	不液化	0.30g
k6#	2	4.15-4.45	粉土夹粉砂	18.6	7	3.34	－	不液化	0.10g
k6#	2	5.15-5.45	粉土	21.4	8	3.35	－	不液化	0.10g
k6#	3	6.15-6.45	粉土	18.5	10	3.82	－	不液化	0.10g
k6#	3	7.15-7.45	粉土	21.3	19	3.73	－	不液化	0.10g
k6#	3	8.15-8.45	粉土	22.4	24	3.78	－	不液化	0.10g
k6#	3	9.15-9.45	粉土	20.6	33	4.07	－	不液化	0.10g
k6#	4	10.15-10.45	粉砂	3	36	10.95	－	不液化	0.10g
k6#	4	11.15-11.45	粉砂	3	32	11.22	－	不液化	0.10g
k6#	4	12.15-12.45	粉砂	3	36	11.45	－	不液化	0.10g
k6#	4	13.15-13.45	粉砂	3	39	11.66	－	不液化	0.10g
k6#	4	14.15-14.45	粉砂	3	42	11.85	－	不液化	0.10g
k6#	5	15.15-15.45	粉砂	3	45	11.85	－	不液化	0.10g
k6#	5	16.15-16.45	粉砂	3	41	12.02	－	不液化	0.10g
k6#	5	17.15-17.45	粉砂	3	45	12.18	－	不液化	0.10g
k6#	5	18.15-18.45	粉砂	3	49	12.33	－	不液化	0.10g
k6#	5	19.15-19.45	粉砂	3	51	12.46	－	不液化	0.10g
k6#	6	20.15-20.45	粉土	3	22	12.58	-	不液化	0.10g
k6#	6	21.25-21.45	粉土	25	19	4.4	-	不液化	0.10g
k6#	6	22.15-22.45	粉土	23	23	4.62	-	不液化	0.10g
k6#	6	23.15-23.45	粉土	21	24	4.87	-	不液化	0.10g
k6#	7	24.15-24.45	粉土	24	25	4.59	-	不液化	0.10g
k6#	7	25.15-25.45	粉土	26	26	4.44	-	不液化	0.10g
k6#	8	26.15-26.45	粉土	22	24	4.85	-	不液化	0.10g
k6#	8	27.15-27.45	粉土	25	25	4.58	-	不液化	0.10g
k6#	8	28.15-28.45	粉土	24	26	4.7	-	不液化	0.10g
k6#	8	29.15-29.45	粉土	25	29	4.63	-	不液化	0.10g
k6#	2	4.15-4.45	粉土夹粉砂	18.6	7	－	－	不液化	0.15g
k6#	2	5.15-5.45	粉土	21.4	8	－	－	不液化	0.15g
k6#	3	6.15-6.45	粉土	18.5	10	－	－	不液化	0.15g
k6#	3	7.15-7.45	粉土	21.3	19	－	－	不液化	0.15g
k6#	3	8.15-8.45	粉土	22.4	24	－	－	不液化	0.15g
k6#	3	9.15-9.45	粉土	20.6	33	－	－	不液化	0.15g
k6#	4	10.15-10.45	粉砂	3	36	17.5	－	不液化	0.15g
k6#	4	11.15-11.45	粉砂	3	32	18.2	－	不液化	0.15g
k6#	4	12.15-12.45	粉砂	3	36	18.9	－	不液化	0.15g
k6#	4	13.15-13.45	粉砂	3	39	19.5	－	不液化	0.15g
k6#	4	14.15-14.45	粉砂	3	42	20.1	－	不液化	0.15g
k6#	5	15.15-15.45	粉砂	3	45	20.6	－	不液化	0.15g
k6#	5	16.15-16.45	粉砂	3	41	21.1	－	不液化	0.15g
k6#	5	17.15-17.45	粉砂	3	45	21.6	－	不液化	0.15g
k6#	5	18.15-18.45	粉砂	3	49	22.1	－	不液化	0.15g
k6#	5	19.15-19.45	粉砂	3	51	22.5	－	不液化	0.15g
k6#	6	20.15-20.45	粉土	3	22	12.58	-	不液化	0.15g
k6#	6	21.25-21.45	粉土	25	19	4.4	-	不液化	0.15g
k6#	6	22.15-22.45	粉土	23	23	4.62	-	不液化	0.15g
k6#	6	23.15-23.45	粉土	21	24	4.87	-	不液化	0.15g
k6#	7	24.15-24.45	粉土	24	25	4.59	-	不液化	0.15g
k6#	7	25.15-25.45	粉土	26	26	4.44	-	不液化	0.15g
k6#	8	26.15-26.45	粉土	22	24	4.85	-	不液化	0.15g
k6#	8	27.15-27.45	粉土	25	25	4.58	-	不液化	0.15g
k6#	8	28.15-28.45	粉土	24	26	4.7	-	不液化	0.15g
k6#	8	29.15-29.45	粉土	25	29	4.63	-	不液化	0.15g
k6#	2	4.15-4.45	粉土夹粉砂	18.6	7	5.57	－	不液化	0.20g
k6#	2	5.15-5.45	粉土	21.4	8	5.59	－	不液化	0.20g
k6#	3	6.15-6.45	粉土	18.5	10	6.36	－	不液化	0.20g
k6#	3	7.15-7.45	粉土	21.3	19	6.21	－	不液化	0.20g
k6#	3	8.15-8.45	粉土	22.4	24	6.29	－	不液化	0.20g
k6#	3	9.15-9.45	粉土	20.6	33	6.78	－	不液化	0.20g
k6#	4	10.15-10.45	粉砂	3	36	18.26	－	不液化	0.20g
k6#	4	11.15-11.45	粉砂	3	32	18.7	－	不液化	0.20g
k6#	4	12.15-12.45	粉砂	3	36	19.09	－	不液化	0.20g
k6#	4	13.15-13.45	粉砂	3	39	19.44	－	不液化	0.20g
k6#	4	14.15-14.45	粉砂	3	42	17.2	－	不液化	0.20g
k6#	5	15.15-15.45	粉砂	3	45	19.75	－	不液化	0.20g
k6#	5	16.15-16.45	粉砂	3	41	20.04	－	不液化	0.20g
k6#	5	17.15-17.45	粉砂	3	45	20.3	－	不液化	0.20g
k6#	5	18.15-18.45	粉砂	3	49	20.54	－	不液化	0.20g
k6#	5	19.15-19.45	粉砂	3	51	20.76	－	不液化	0.20g
k6#	6	20.15-20.45	粉土	3	22	20.96	-	不液化	0.20g
k6#	6	21.25-21.45	粉土	25	19	7.33	-	不液化	0.20g
k6#	6	22.15-22.45	粉土	23	23	7.7	-	不液化	0.20g
k6#	6	23.15-23.45	粉土	21	24	8.12	-	不液化	0.20g
k6#	7	24.15-24.45	粉土	24	25	7.65	-	不液化	0.20g
k6#	7	25.15-25.45	粉土	26	26	7.4	-	不液化	0.20g
k6#	8	26.15-26.45	粉土	22	24	8.09	-	不液化	0.20g
k6#	8	27.15-27.45	粉土	25	25	7.63	-	不液化	0.20g
k6#	8	28.15-28.45	粉土	24	26	7.83	-	不液化	0.20g
k6#	8	29.15-29.45	粉土	25	29	7.71	-	不液化	0.20g
k6#	2	4.15-4.45	粉土夹粉砂	18.6	7	7.16	0.81	液化	0.30g
k6#	2	5.15-5.45	粉土	21.4	8	7.18	－	不液化	0.30g
k6#	3	6.15-6.45	粉土	18.5	10	8.18	－	不液化	0.30g
k6#	3	7.15-7.45	粉土	21.3	19	7.99	－	不液化	0.30g
k6#	3	8.15-8.45	粉土	22.4	24	8.09	－	不液化	0.30g
k6#	3	9.15-9.45	粉土	20.6	33	8.71	－	不液化	0.30g
k6#	4	10.15-10.45	粉砂	3	36	23.47	－	不液化	0.30g
k6#	4	11.15-11.45	粉砂	3	32	24.04	－	不液化	0.30g
k6#	4	12.15-12.45	粉砂	3	36	24.54	－	不液化	0.30g
k6#	4	13.15-13.45	粉砂	3	39	24.99	－	不液化	0.30g
k6#	4	14.15-14.45	粉砂	3	42	22.11	－	不液化	0.30g
k6#	5	15.15-15.45	粉砂	3	45	25.4	－	不液化	0.30g
k6#	5	16.15-16.45	粉砂	3	41	25.77	－	不液化	0.30g
k6#	5	17.15-17.45	粉砂	3	45	26.1	－	不液化	0.30g
k6#	5	18.15-18.45	粉砂	3	49	26.41	－	不液化	0.30g
k6#	5	19.15-19.45	粉砂	3	51	26.69	－	不液化	0.30g
k6#	6	20.15-20.45	粉土	3	22	26.95	0.81	液化	0.30g
k6#	6	21.25-21.45	粉土	25	19	9.42	－	不液化	0.30g
k6#	6	22.15-22.45	粉土	23	23	9.9	－	不液化	0.30g
k6#	6	23.15-23.45	粉土	21	24	10.44	－	不液化	0.30g
k6#	7	24.15-24.45	粉土	24	25	9.84	－	不液化	0.30g
k6#	7	25.15-25.45	粉土	26	26	9.51	－	不液化	0.30g
k6#	8	26.15-26.45	粉土	22	24	10.4	－	不液化	0.30g
k6#	8	27.15-27.45	粉土	25	25	9.81	－	不液化	0.30g
k6#	8	28.15-28.45	粉土	24	26	10.07	－	不液化	0.30g
k6#	8	29.15-29.45	粉土	25	29	9.91	－	不液化	0.30g
k7#	2	2.15-2.45	粉土夹粉砂	11.1	11	2.7	-	不液化	0.10g
k7#	2	3.15-3.45	粉土夹粉砂	13	13	3.13	－	不液化	0.10g
k7#	3	4.15-4.45	粉土	15	8	3.3	－	不液化	0.10g
k7#	3	5.15-5.45	粉土	15.4	6	3.38	－	不液化	0.10g
k7#	3	6.15-6.45	粉土	13.1	8	3.59	－	不液化	0.10g
k7#	3	7.15-7.45	粉土	15.1	7	4.12	－	不液化	0.10g
k7#	3	8.15-8.45	粉土	16.5	7	4.02	－	不液化	0.10g
k7#	3	9.15-9.45	粉土	19.1	16	4	－	不液化	0.10g
k7#	4	10.15-10.45	粉砂	3	18	3.84	－	不液化	0.10g
k7#	4	11.15-11.45	粉砂	3	17	9.96	－	不液化	0.10g
k7#	4	12.15-12.45	粉砂	3	19	10.2	－	不液化	0.10g
k7#	5	13.15-13.45	粉砂	3	22	10.41	－	不液化	0.10g
k7#	5	14.15-14.45	粉砂	3	24	10.6	－	不液化	0.10g
k7#	5	15.15-15.45	粉砂	3	26	10.77	－	不液化	0.10g
k7#	6	16.15-16.45	粉砂	3	28	10.93	－	不液化	0.10g
k7#	6	17.15-17.45	粉砂	3	24	11.07	－	不液化	0.10g
k7#	6	18.15-18.45	粉砂	3	26	11.2	－	不液化	0.10g
k7#	7	19.15-19.45	粉砂	3	25	11.32	－	不液化	0.10g
k7#	7	20.15-20.45	粉砂	3	26	11.44	-	不液化	0.10g
k7#	7	21.25-21.45	粉砂	3	29	11.54	-	不液化	0.10g
k7#	8	22.15-22.45	粉土	17	11	11.63	-	不液化	0.10g
k7#	8	23.15-23.45	粉土	22	13	4.92	-	不液化	0.10g
k7#	8	24.15-24.45	粉土	20	14	4.36	-	不液化	0.10g
k7#	8	25.15-25.45	粉土	21	14	4.6	-	不液化	0.10g
k7#	8	26.15-26.45	粉土	25	16	4.52	-	不液化	0.10g
k7#	9	27.15-27.45	粉土	20	13	4.16	-	不液化	0.10g
k7#	9	28.15-28.45	粉土	28	14	4.68	-	不液化	0.10g
k7#	9	29.15-29.45	粉土	24	18	3.97	-	不液化	0.10g
k7#	2	2.15-2.45	粉土夹粉砂	11.1	11	4.27	-	不液化	0.15g
k7#	2	3.15-3.45	粉土夹粉砂	13	13	4.5	－	不液化	0.15g
k7#	2	4.15-4.45	粉土	15	8	4.61	－	不液化	0.15g
k7#	3	5.15-5.45	粉土	15.4	6	4.9	－	不液化	0.15g
k7#	3	6.15-6.45	粉土	13.1	8	5.62	－	不液化	0.15g
k7#	3	7.15-7.45	粉土	15.1	7	5.49	－	不液化	0.15g
k7#	3	8.15-8.45	粉土	16.5	7	5.45	－	不液化	0.15g
k7#	3	9.15-9.45	粉土	19.1	16	5.24	－	不液化	0.15g
k7#	4	10.15-10.45	粉砂	3	18	13.58	－	不液化	0.15g
k7#	4	11.15-11.45	粉砂	3	17	13.91	－	不液化	0.15g
k7#	4	12.15-12.45	粉砂	3	19	14.2	－	不液化	0.15g
k7#	5	13.15-13.45	粉砂	3	22	14.46	－	不液化	0.15g
k7#	5	14.15-14.45	粉砂	3	24	14.69	－	不液化	0.15g
k7#	5	15.15-15.45	粉砂	3	26	14.91	－	不液化	0.15g
k7#	6	16.15-16.45	粉砂	3	28	15.1	－	不液化	0.15g
k7#	6	17.15-17.45	粉砂	3	24	15.28	－	不液化	0.15g
k7#	6	18.15-18.45	粉砂	3	26	15.44	－	不液化	0.15g
k7#	7	19.15-19.45	粉砂	3	25	15.59	－	不液化	0.15g
k7#	7	20.15-20.45	粉砂	3	26	15.73	-	不液化	0.15g
k7#	7	21.25-21.45	粉砂	3	29	15.86	-	不液化	0.15g
k7#	8	22.15-22.45	粉土	17	11	6.71	-	不液化	0.15g
k7#	8	23.15-23.45	粉土	22	13	5.94	-	不液化	0.15g
k7#	8	24.15-24.45	粉土	20	14	6.27	-	不液化	0.15g
k7#	8	25.15-25.45	粉土	21	14	6.16	-	不液化	0.15g
k7#	8	26.15-26.45	粉土	25	16	5.68	-	不液化	0.15g
k7#	9	27.15-27.45	粉土	20	13	6.38	-	不液化	0.15g
k7#	9	28.15-28.45	粉土	28	14	5.42	-	不液化	0.15g
k7#	9	29.15-29.45	粉土	24	18	5.88	-	不液化	0.15g
k7#	2	2.15-2.45	粉土夹粉砂	11.1	11	5.22	-	不液化	0.20g
k7#	2	3.15-3.45	粉土夹粉砂	13	13	5.5	－	不液化	0.20g
k7#	2	4.15-4.45	粉土	15	8	5.64	－	不液化	0.20g
k7#	3	5.15-5.45	粉土	15.4	6	5.99	－	不液化	0.20g
k7#	3	6.15-6.45	粉土	13.1	8	6.87	－	不液化	0.20g
k7#	3	7.15-7.45	粉土	15.1	7	6.71	－	不液化	0.20g
k7#	3	8.15-8.45	粉土	16.5	7	6.67	－	不液化	0.20g
k7#	3	9.15-9.45	粉土	19.1	16	6.4	－	不液化	0.20g
k7#	4	10.15-10.45	粉砂	3	18	16.6	－	不液化	0.20g
k7#	4	11.15-11.45	粉砂	3	17	17	－	不液化	0.20g
k7#	4	12.15-12.45	粉砂	3	19	17.35	－	不液化	0.20g
k7#	5	13.15-13.45	粉砂	3	22	17.67	－	不液化	0.20g
k7#	5	14.15-14.45	粉砂	3	24	17.96	－	不液化	0.20g
k7#	5	15.15-15.45	粉砂	3	26	18.22	－	不液化	0.20g
k7#	6	16.15-16.45	粉砂	3	28	18.46	－	不液化	0.20g
k7#	6	17.15-17.45	粉砂	3	24	18.67	－	不液化	0.20g
k7#	6	18.15-18.45	粉砂	3	26	18.87	－	不液化	0.20g
k7#	7	19.15-19.45	粉砂	3	25	19.06	－	不液化	0.20g
k7#	7	20.15-20.45	粉砂	3	26	19.23	-	不液化	0.20g
k7#	7	21.25-21.45	粉砂	3	29	19.39	-	不液化	0.20g
